date,nikkei_close,nikkei_prev_close,topix_close,topix_prev_close,nikkei_atr,futures_close,advancers_ratio,nikkei_return,topix_return,nikkei_topix_gap,basis,basis_atr,total_abs_contribution,contribution_trend,top_contribution,top_abs_contribution,contribution_concentration,call_magnet,put_magnet,total_option_magnet,option_bias,next_sq_date,previous_sq_date,days_to_sq,days_after_sq,time_pressure,post_sq_flag,breadth_divergence,index_distortion,basis_score,sq_up_pressure,sq_down_risk,p_up,signal
2026-05-13,63272.109375,62742.5703125,3163.60546875,3137.128515625,1078.1302083333333,63272.109375,0.6666666666666666,0.00843986881414871,0.00843986881414871,0.0,0.0,0.0,9711.7,0.0,3496.7,9541.7,0.9824953406715611,11176.740952084729,10602.303669484198,40546.00656587797,574.437282600531,2026-06-12,,22,,0.0,0,-0.7758707797232661,-1.1762082230759212,0.0,-0.3335687879160954,0.04024078837473519,0.41103461458632096,NEUTRAL
2026-05-14,62654.05078125,63272.109375,3132.7025390625,3163.60546875,1078.1302083333333,62654.05078125,0.4,-0.009768262823148577,-0.009768262823148577,0.0,0.0,0.0,10697.3,0.0,-8166.8,10424.8,0.9745262823329252,9788.64288390445,12102.971685138134,40789.88821129676,-2314.328801233685,2026-06-12,,21,,0.0,0,0.4944314398080465,-1.0297675654041596,0.0,-0.5281525272658069,0.22506672239020117,0.3440668253202679,DOWN_BIAS
2026-05-15,61409.2890625,62654.05078125,3070.464453125,3132.7025390625,1383.21484375,61409.2890625,0.3333333333333333,-0.01986721853142348,-0.01986721853142348,0.0,0.0,0.0,13654.4,0.0,-11060.9,13370.9,0.9792374619170378,16374.069807694124,12500.844659886076,53128.04968559627,3873.225147808049,2026-06-12,,20,,0.0,0,0.8064600718919243,-0.03246667670264569,0.0,0.010994596718790266,-0.007670611434542795,0.49108377145112375,NEUTRAL
2026-05-18,60815.94921875,61409.2890625,3040.7974609375,3070.464453125,1326.8859375,60815.94921875,0.2,-0.009662053621010358,-0.009662053621010358,0.0,0.0,0.0,15611.7,0.0,-511.50000000000045,15299.5,0.9800021778537891,14550.660585162843,12869.66283610939,50492.64128130536,1680.997749053453,2026-06-12,,19,,0.0,0,1.4609204123866424,0.721382237361835,0.0,-0.0766821210848196,0.2125755049973192,0.43699816753090953,NEUTRAL
2026-05-19,60550.58984375,60815.94921875,3027.5294921875,3040.7974609375,1305.7350260416667,60550.58984375,0.5333333333333333,-0.00436331880713603,-0.004363318807135919,-1.1102230246251565e-16,0.0,0.0,19934.2,0.0,444.3000000000002,19838.7,0.9952092383943173,11254.052994954232,16055.004892020086,50469.14646055348,-4800.951897065854,2026-06-12,,18,,0.0,0,-0.1444187917602459,0.050036942144816965,0.0,-0.6066287721014445,0.5028560232335558,0.2905960666043481,DOWN_BIAS
2026-05-20,59804.41015625,60550.58984375,2990.2205078125,3027.5294921875,1301.3470982142858,59804.41015625,0.3333333333333333,-0.012323243909357573,-0.012323243909357684,1.1102230246251565e-16,0.0,0.0,8655.9,-0.02780107560478231,1288.8999999999999,8496.9,0.9816310262364398,14118.887949264114,12715.697725977741,49462.462120733595,1403.1902232863722,2026-06-12,,17,,0.0,0,0.8140040465139902,1.5506391091997345,0.0,-0.22220708015570353,0.5008785363775974,0.3625191199807731,DOWN_BIAS
2026-05-21,61684.140625,59804.41015625,3084.20703125,2990.2205078125,1418.56884765625,61684.140625,0.6666666666666666,0.03143130186952536,0.03143130186952536,0.0,0.0,0.0,19194.7,0.0073534796559648515,11057.199999999999,19011.2,0.9904400693941556,13868.767094457648,15583.963005357777,54038.076336857834,-1715.195910900129,2026-06-12,,16,,0.0,0,-0.7528793466678895,-0.03762527995214415,0.0,-0.33869067990806245,0.26926153606157066,0.37451228661795805,DOWN_BIAS
2026-05-22,63339.0703125,61684.140625,3166.953515625,3084.20703125,1455.2022569444443,63339.0703125,0.9333333333333332,0.02682909530280897,0.02682909530280897,0.0,0.0,0.0,13123.5,0.060779993795911404,12804.5,12804.5,0.975692460090677,16279.346338152845,14014.60852998282,55516.91788241674,2264.7378081700263,2026-06-12,,15,,0.0,0,-2.0459919044032158,-3.439659829504036,0.0,0.020607072659300674,-0.7085795586165777,0.6054181368922631,UP_BIAS
2026-05-25,65158.19140625,63339.0703125,3257.9095703125,3166.953515625,1516.662109375,65158.19140625,0.7333333333333333,0.02872036303619363,0.02872036303619363,0.0,0.0,0.0,19823.5,0.09640585183831571,17147.0,19617.0,0.9895830705980276,14643.402074187547,16997.52661908092,57853.888771588674,-2354.1245448933732,2026-06-12,,14,,0.0,0,-1.0777178732933737,-0.4825719400650297,0.0,0.22364050637434313,-0.29086426560056117,0.581554053895182,NEUTRAL
2026-05-26,64996.08984375,65158.19140625,3249.8044921875,3257.9095703125,1443.5110085227273,64996.08984375,0.2,-0.002487815560891282,-0.002487815560891282,0.0,0.0,0.0,13983.0,0.08589398534250285,-6687.5,13853.5,0.9907387542015305,18209.72463206509,12300.713204296868,56136.19989907725,5909.0114277682205,2026-06-12,,13,,0.0,0,1.4680946504467616,2.260073251734483,0.0,0.9986035848882462,-0.36216797914951615,0.7377336446651613,UP_BIAS
