date,nikkei_close,nikkei_prev_close,topix_close,topix_prev_close,nikkei_atr,futures_close,advancers_ratio,nikkei_return,topix_return,nikkei_topix_gap,basis,basis_atr,total_abs_contribution,contribution_trend,top_contribution,top_abs_contribution,contribution_concentration,call_magnet,put_magnet,total_option_magnet,option_bias,next_sq_date,previous_sq_date,days_to_sq,days_after_sq,time_pressure,post_sq_flag,breadth_divergence,index_distortion,basis_score,sq_up_pressure,sq_down_risk,p_up,signal
2026-05-13,63272.109375,62742.5703125,415.7000122070313,410.2999877929688,1078.1302083333333,63272.109375,0.6666666666666666,0.00843986881414871,0.01316116152747071,-0.004721292713322001,0.0,0.0,9711.7,0.0,3496.7,9541.7,0.9824953406715611,11176.740952084729,10602.303669484198,40546.00656587797,574.437282600531,2026-06-12,,22,,0.0,0,-0.7486161151057558,-1.7908979213407377,0.0,-0.4523745923340323,-0.09252063007060554,0.4074830861033897,NEUTRAL
2026-05-14,62654.05078125,63272.109375,411.2000122070313,415.7000122070313,1078.1302083333333,62654.05078125,0.4,-0.009768262823148577,-0.010825113947215526,0.0010568511240669487,0.0,0.0,10697.3,0.0,-8166.8,10424.8,0.9745262823329252,9788.64288390445,12102.971685138134,40789.88821129676,-2314.328801233685,2026-06-12,,21,,0.0,0,0.4995239445411511,-1.0994764517313178,0.0,-0.5843807306824573,0.19143709556422106,0.33823765345706996,DOWN_BIAS
2026-05-15,61409.2890625,62654.05078125,409.8999938964844,411.2000122070313,1383.21484375,61409.2890625,0.3333333333333333,-0.01986721853142348,-0.0031615230349079093,-0.01670569549651557,0.0,0.0,13654.4,0.0,-11060.9,13370.9,0.9792374619170378,16374.069807694124,12500.844659886076,53128.04968559627,3873.225147808049,2026-06-12,,20,,0.0,0,0.8060120366539275,-1.8776541003253286,0.0,-0.2166528299502853,-0.3034768775127995,0.49077731239570516,NEUTRAL
2026-05-18,60815.94921875,61409.2890625,405.8999938964844,409.8999938964844,1326.8859375,60815.94921875,0.2,-0.009662053621010358,-0.009758477822788492,9.64242017781336e-05,0.0,0.0,15611.7,0.0,-511.50000000000045,15299.5,0.9800021778537891,14550.660585162843,12869.66283610939,50492.64128130536,1680.997749053453,2026-06-12,,19,,0.0,0,1.4493912972064427,0.5463401852843515,0.0,-0.0871781880001593,0.21821500270646732,0.4339037917275193,NEUTRAL
2026-05-19,60550.58984375,60815.94921875,408.2999877929688,405.8999938964844,1305.7350260416667,60550.58984375,0.5333333333333333,-0.00436331880713603,0.0059127714525082364,-0.010276090259644266,0.0,0.0,19934.2,0.0,444.3000000000002,19838.7,0.9952092383943173,11254.052994954232,16055.004892020086,50469.14646055348,-4800.951897065854,2026-06-12,,18,,0.0,0,-0.12824520708493845,0.12588653814208542,0.0,-0.6218108244094509,0.5374647001914661,0.2833527287414061,DOWN_BIAS
2026-05-20,59804.41015625,60550.58984375,402.2000122070313,408.2999877929688,1301.3470982142858,59804.41015625,0.3333333333333333,-0.012323243909357573,-0.014939935753881417,0.002616691844523844,0.0,0.0,8655.9,-0.02780107560478231,1288.8999999999999,8496.9,0.9816310262364398,14118.887949264114,12715.697725977741,49462.462120733595,1403.1902232863722,2026-06-12,,17,,0.0,0,0.8135560112759934,0.40080717238578883,0.0,-0.32875553024712056,0.3807113514179034,0.35964516054896406,DOWN_BIAS
2026-05-21,61684.140625,59804.41015625,408.7999877929688,402.2000122070313,1418.56884765625,61684.140625,0.6666666666666666,0.03143130186952536,0.01640968519548469,0.015021616674040672,0.0,0.0,19194.7,0.0073534796559648515,11057.199999999999,19011.2,0.9904400693941556,13868.767094457648,15583.963005357777,54038.076336857834,-1715.195910900129,2026-06-12,,16,,0.0,0,-0.7256246820503791,1.3326007542715712,0.0,-0.19183066437978236,0.502961661702759,0.3681919684679854,DOWN_BIAS
2026-05-22,63339.0703125,61684.140625,412.3999938964844,408.7999877929688,1455.2022569444443,63339.0703125,0.9333333333333332,0.02682909530280897,0.008806277424202813,0.018022817878606157,0.0,0.0,13123.5,0.060779993795911404,12804.5,12804.5,0.975692460090677,16279.346338152845,14014.60852998282,55516.91788241674,2264.7378081700263,2026-06-12,,15,,0.0,0,-1.9965750799012998,-1.7668958895311973,0.0,0.12103147186970548,-0.5598656282478056,0.6027147290698156,UP_BIAS
2026-05-25,65158.19140625,63339.0703125,418.0,412.3999938964844,1516.662109375,65158.19140625,0.7333333333333333,0.02872036303619363,0.013579064467496682,0.015141298568696948,0.0,0.0,19823.5,0.09640585183831571,17147.0,19617.0,0.9895830705980276,14643.402074187547,16997.52661908092,57853.888771588674,-2354.1245448933732,2026-06-12,,14,,0.0,0,-1.044922668704762,0.904015487732653,0.0,0.3596953151108677,-0.07051428938921919,0.5748275682094098,NEUTRAL
2026-05-26,64996.08984375,65158.19140625,417.3999938964844,418.0,1443.5110085227273,64996.08984375,0.2,-0.002487815560891282,-0.0014354213002766292,-0.001052394260614653,0.0,0.0,13983.0,0.08589398534250285,-6687.5,13853.5,0.9907387542015305,18209.72463206509,12300.713204296868,56136.19989907725,5909.0114277682205,2026-06-12,,13,,0.0,0,1.4565655352665616,1.9845231118968678,0.0,1.0302313784838486,-0.3256635479160328,0.7383437683914482,UP_BIAS
